Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;LONGITUD;LATITUD;DIRECCION
109;442191,64;4475721,98;41813;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;32;BiciMAD;24;-3.6815253;40.4301281;JOSE ORTEGA Y GASSET, CALLE, DE,32
110;438921,15;4476262,7;41813;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;MORET, PASEO, DE;S/N;BiciMAD;24;-3.7201316;40.4347654;MORET, PASEO, DE,S/N
111a;439144,16;4476128,65;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;8;BiciMAD;24;-3.7174896;40.4335742;ARCIPRESTE DE HITA, CALLE, DEL,8
111b;439120,04;4476174,12;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;ARCIPRESTE DE HITA, CALLE, DEL;10;BiciMAD;24;-3.7177783;40.433982;ARCIPRESTE DE HITA, CALLE, DEL,10
112;438517,07;4476028,6;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MORET, PASEO, DE;11;BiciMAD;24;-3.7248727;40.4326267;MORET, PASEO, DE,11
113;438865,35;4475484,09;41813;09  MONCLOA-ARAVACA;09-01 CASA DE CAMPO;PINTOR ROSALES, PASEO, DEL;S/N;BiciMAD;24;-3.7207145;40.4277472;PINTOR ROSALES, PASEO, DEL,S/N
114;439145,66;4475489,87;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;QUINTANA, CALLE, DE;13;BiciMAD;24;-3.7174108;40.4278199;QUINTANA, CALLE, DE,13
115;439181,48;4475218,76;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;MARQUES DE CERRALBO, PLAZA, DEL;S/N;BiciMAD;24;-3.7169626;40.4253802;MARQUES DE CERRALBO, PLAZA, DEL,S/N
116a;439616,59;4475074,01;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-3.7118199;40.4241079;ESPAÑA, PLAZA, DE,S/N
116b;439610,68;4475084,23;41813;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ESPAÑA, PLAZA, DE;S/N;BiciMAD;24;-3.7118905;40.4241996;ESPAÑA, PLAZA, DE,S/N
117;439020,83;4475833,31;41816;09  MONCLOA-ARAVACA;09-02 ARGÜELLES;ALTAMIRANO, CALLE, DE;24;BiciMAD;24;-3.7189152;40.4309046;ALTAMIRANO, CALLE, DE,24
118;441605,27;4472470,69;41813;02  ARGANZUELA;02-06 PALOS DE MOGUER;JUAN MARTIN EL EMPECINADO, CALLE, DE;16;BiciMAD;24;-3.6881393;40.4007979;JUAN MARTIN EL EMPECINADO, CALLE, DE,16
119;441738,36;4472542,79;41813;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;7;BiciMAD;24;-3.6865777;40.4014567;MENDEZ ALVARO, CALLE, DE,7
120;441058,14;4472722,16;41813;02  ARGANZUELA;02-06 PALOS DE MOGUER;PALOS DE LA FRONTERA, CALLE, DE;27;BiciMAD;24;-3.6946097;40.4030247;PALOS DE LA FRONTERA, CALLE, DE,27
121;440718,1;4472592,85;41813;02  ARGANZUELA;02-06 PALOS DE MOGUER;SANTA MARIA DE LA CABEZA, PASEO, DE;58;BiciMAD;24;-3.6986046;40.4018356;SANTA MARIA DE LA CABEZA, PASEO, DE,58
122;440941,06;4475664,68;41813;07  CHAMBERÍ;07-04 ALMAGRO;SANTA ENGRACIA, CALLE, DE;16;BiciMAD;24;-3.6962626;40.429524;SANTA ENGRACIA, CALLE, DE,16
123;439482,59;4475800,04;41813;07  CHAMBERÍ;07-01 GAZTAMBIDE;GUZMAN EL BUENO, CALLE, DE;2;BiciMAD;24;-3.7134685;40.4306386;GUZMAN EL BUENO, CALLE, DE,2
124;440683,01;4475810,28;42186;07  CHAMBERÍ;07-03 TRAFALGAR;MANUEL SILVELA, CALLE, DE;18;BiciMAD;24;-3.6993182;40.4308173;MANUEL SILVELA, CALLE, DE,18
125;441066,99;4476306,47;42186;07  CHAMBERÍ;07-04 ALMAGRO;FERNANDEZ DE LA HOZ, CALLE, DE;29;BiciMAD;24;-3.6948375;40.4353145;FERNANDEZ DE LA HOZ, CALLE, DE,29
126;440480,69;4476228,15;42186;07  CHAMBERÍ;07-03 TRAFALGAR;GENERAL ALVAREZ DE CASTRO, CALLE, DEL;4;BiciMAD;24;-3.7017424;40.4345672;GENERAL ALVAREZ DE CASTRO, CALLE, DEL,4
